ContactName,InvoiceNumber,Date,Total,Description,AccountCode
SMART Agency,SM0195-3,2022/03/01,200.08,Design concepts for Oaktown Business Leader ad series,400
Xero,RPT402-1-3,2021/05/11,114.98,Monthly subscription,401
PC Complete,0720-3-3,2021/08/04,139.52,Unable to supply DVD writer for laptop,429
MCO Cleaning Services,408-3,2022/02/09,92.18,Office clean for month,408
Net Connect,RPT489-1-3,2021/02/28,63.79,Cable internet,489
Central Copiers,945-Ocon-3,2021/09/28,237.13,Photocopier repair & drum replacement,473
PC Complete,0720-3-3,2021/05/31,67.54,Webrrls Club sub,485
PC Complete,0720-3-3,2021/12/10,510.15,DVD writer for laptop,429
PowerDirect,RPT445-1-3,2021/01/22,884.90,Monthly electricity,445
Swanston Security,RPT429-1-3,2021/01/10,256.43,Refund as agreed due to window break when guard absent,429
Truxton Property Management,RPT469-1-3,2022/02/03,89.52,Monthly rent in advance,469
Swanston Security,RPT429-1-3,2022/03/16,716.73,Our share building doorman/security,429
Xero,RPT402-1-3,2022/03/13,223.19,Monthly subscription,401
Net Connect,RPT489-1-3,2021/01/03,188.81,Cable internet,489
PC Complete,0720-1-3,2021/06/15,824.18,Laptop,720
PowerDirect,RPT445-1-3,2021/02/20,867.59,Monthly electricity,445
Capital Cab Co,RPT469-1-3,2021/07/27,945.89,Monthly rent in advance,469
Capital Cab Co,CS816-4,2021/04/14,534.27,Taxi services,493
Bayside Wholesale,GB2-White-4,2021/04/25,988.62,Golf balls - white single,300
Gateway Motors,450-4,2021/02/10,312.91,Annual service company car,449
Young Bros Transport,ABD-4,2021/11/22,869.02,Delivery of new reception furniture,425
Net Connect,RPT489-4,2022/02/14,594.91,Cable internet,489
ABC Furniture,711-4,2021/02/24,532.70,Coffee table for reception,710
PowerDirect,RPT445-1-4,2021/11/19,451.71,Monthly electricity,445
Truxton Property Management,RPT469-1-4,2021/02/09,88.57,Monthly rent in advance,469
Swanston Security,RPT429-1-4,2022/03/12,747.31,Our share building doorman/security,429
Bayside Club,-4,2021/10/15,873.29,Room hire,429
SMART Agency,SM0210-4,2021/07/23,135.60,Prototype media banner & print mockups for Oaktown Business Leader ad series,400
Carlton Functions,Dep-4,2021/11/24,211.78,Deposit on venue hire for client function,300
Hoyt Productions,08-4123-4,2022/02/17,922.94,20-second still frame ad shown in 5 city cinemas 5 times each,400
Xero,RPT402-1-4,2021/09/16,644.81,Monthly subscription,401
Net Connect,RPT489-1-4,2021/07/19,710.00,Cable internet,489
PowerDirect,RPT445-1-4,2021/05/02,774.58,Monthly electricity,445
Truxton Property Management,RPT469-1-4,2021/12/26,946.00,Monthly rent in advance,469
Swanston Security,RPT429-1-4,2022/02/03,410.42,Our share building doorman/security,429
SMART Agency,SM0195-4,2021/02/28,254.90,Design concepts for Oaktown Business Leader ad series,400
Xero,RPT402-1-4,2021/04/25,362.29,Monthly subscription,401
PC Complete,0720-4-4,2021/05/15,179.64,Unable to supply DVD writer for laptop,429
MCO Cleaning Services,408-4,2022/02/10,462.91,Office clean for month,408
Net Connect,RPT489-1-4,2021/10/11,967.02,Cable internet,489
Central Copiers,945-Ocon-4,2021/12/26,338.61,Photocopier repair & drum replacement,473
PC Complete,0720-4-4,2021/10/22,139.89,Webrrls Club sub,485
PC Complete,0720-4-4,2021/09/04,185.26,DVD writer for laptop,429
PowerDirect,RPT445-1-4,2021/03/18,911.12,Monthly electricity,445
Swanston Security,RPT429-1-4,2021/05/31,631.67,Refund as agreed due to window break when guard absent,429
Truxton Property Management,RPT469-1-4,2021/10/03,350.38,Monthly rent in advance,469
Swanston Security,RPT429-1-4,2021/03/14,437.73,Our share building doorman/security,429
Xero,RPT402-1-4,2022/02/27,560.92,Monthly subscription,401
Net Connect,RPT489-1-4,2021/06/01,726.33,Cable internet,489
PC Complete,0720-1-4,2022/01/15,731.89,Laptop,720
PowerDirect,RPT445-1-4,2021/09/13,91.76,Monthly electricity,445
Capital Cab Co,RPT469-1-4,2021/06/30,648.56,Monthly rent in advance,469
